date;Y
2024-01-24;-0.09
2024-01-25;0.49
2024-01-26;0.87
2024-01-27;0.87
2024-01-28;0.82
2024-01-29;1.38
2024-01-30;0.58
2024-01-31;0.49
2024-02-01;0.71
2024-02-02;0.35
2024-02-03;-0.42
2024-02-04;0.44
2024-02-05;1.07
2024-02-06;1.8
2024-02-07;1.24
2024-02-08;0.88
2024-02-09;1.09
2024-02-10;1.15
2024-02-11;1.19
2024-02-12;1.11
2024-02-13;0.96
2024-02-14;1.05
2024-02-15;0.86
2024-02-16;0.59
2024-02-17;0.98
2024-02-18;1.26
2024-02-19;0.78
2024-02-20;0.84
2024-02-21;1.36
2024-02-22;0.91
2024-02-23;0.84
2024-02-24;0.76
2024-02-25;1.31
2024-02-26;1.77
2024-02-27;1.6
2024-02-28;0.72
2024-02-29;1.37
2024-03-01;2.45
2024-03-02;2.05
2024-03-03;1.05
2024-03-04;0.81
2024-03-05;1.92
2024-03-06;0.4
2024-03-07;0.27
2024-03-08;0.89
2024-03-09;1.18
2024-03-10;1.01
2024-03-11;1.55
2024-03-12;1.31
2024-03-13;0.85
2024-03-14;1.17
2024-03-15;0.9
2024-03-16;0.44
2024-03-17;1.44
2024-03-18;1.31
2024-03-19;0.46
2024-03-20;0.22
2024-03-21;0.33
2024-03-22;0.89
2024-03-23;0.87
2024-03-24;0.27
2024-03-25;0.62
2024-03-26;0.45
2024-03-27;0.27
2024-03-28;-0.18
2024-03-29;0.71
2024-03-30;1.81
2024-03-31;-0.19
2024-04-01;-0.64
2024-04-02;0.74
2024-04-03;0.94
2024-04-04;-0.61
2024-04-05;-0.42
2024-04-06;0.27
2024-04-07;-0.92
2024-04-08;-0.92
2024-04-09;0.46
2024-04-10;0.36
2024-04-11;0.07
2024-04-12;-0.41
2024-04-13;-0.58
2024-04-14;0.22
2024-04-15;0.65
2024-04-16;0.62
2024-04-17;0.93
2024-04-18;-0.38
2024-04-19;-0.78
2024-04-20;-0.3
2024-04-21;0.14
2024-04-22;-0.49
2024-04-23;0.04
2024-04-24;0.22
2024-04-25;0.17
2024-04-26;-0.31
2024-04-27;-0.97
2024-04-28;-0.5
2024-04-29;0.06
2024-04-30;-0.62
2024-05-01;-1.34
2024-05-02;-0.71
2024-05-03;-0.89
2024-05-04;0.23
2024-05-05;-0.56
2024-05-06;-0.78
2024-05-07;-0.33
2024-05-08;0.06
2024-05-09;-0.53
2024-05-10;-0.93
2024-05-11;-0.81
2024-05-12;0.07
2024-05-13;0.73
2024-05-14;0.72
2024-05-15;-0.12
2024-05-16;-0.06
2024-05-17;-0.61
2024-05-18;0.16
2024-05-19;-0.3
2024-05-20;0.18
2024-05-21;-0.12
2024-05-22;0.09
2024-05-23;0.57
2024-05-24;0.23
2024-05-25;0.51
2024-05-26;0.42
2024-05-27;0.47
2024-05-28;0.31
2024-05-29;0.92
2024-05-30;0.82
2024-05-31;1.46
2024-06-01;0.87
2024-06-02;1.28
2024-06-03;0.98
2024-06-04;0.64
2024-06-05;0.4
2024-06-06;1.34
2024-06-07;0.97
2024-06-08;1.44
2024-06-09;1.47
2024-06-10;0.57
2024-06-11;0.1
2024-06-12;-0.23
2024-06-13;-0.17
2024-06-14;0.53
2024-06-15;1.41
2024-06-16;0.72
2024-06-17;0.15
2024-06-18;0.12
2024-06-19;-0.16
2024-06-20;-0.33
2024-06-21;0.36
2024-06-22;0.48
2024-06-23;0.07
2024-06-24;0.14
2024-06-25;0.19
2024-06-26;0.65
2024-06-27;-0.23
2024-06-28;0.06
2024-06-29;-0.26
2024-06-30;-0.28
2024-07-01;-0.39
2024-07-02;-1.2
2024-07-03;-1.06
2024-07-04;-0.28
2024-07-05;-0.36
2024-07-06;-0.04
2024-07-07;-0.57
2024-07-08;-0.8
2024-07-09;-0.8
2024-07-10;-0.96
2024-07-11;-0.26
2024-07-12;-0.58
2024-07-13;-0.28
2024-07-14;-0.43
2024-07-15;0.66
2024-07-16;-0.13
2024-07-17;-1.45
2024-07-18;-1.39
2024-07-19;-0.09
2024-07-20;-0.02
2024-07-21;-0.42
2024-07-22;-0.46
2024-07-23;-0.13
2024-07-24;0.06
2024-07-25;-0.57
2024-07-26;0.41
2024-07-27;-0.18
2024-07-28;-0.39
2024-07-29;-1.26
2024-07-30;-1.04
2024-07-31;-1.12
2024-08-01;-0.44
2024-08-02;-0.47
2024-08-03;-1.28
2024-08-04;-0.64
2024-08-05;-1.27
2024-08-06;-0.49
2024-08-07;0.02
2024-08-08;-1.18
2024-08-09;-1.5
2024-08-10;-1.12
2024-08-11;-0.33
2024-08-12;-0.13
2024-08-13;-0.68
2024-08-14;-0.47
2024-08-15;-0.36
2024-08-16;-1.36
2024-08-17;-0.81
2024-08-18;-1.21
2024-08-19;-1.17
2024-08-20;0.11
2024-08-21;0.05
2024-08-22;0.33
2024-08-23;-0.31
2024-08-24;-0.07
2024-08-25;0.83
2024-08-26;0.01
2024-08-27;-0.21
2024-08-28;-0.06
2024-08-29;1.02
2024-08-30;0.67
2024-08-31;-0.37
2024-09-01;-0.67
2024-09-02;-0.42
2024-09-03;0.26
2024-09-04;-0.74
2024-09-05;-0.87
2024-09-06;-0.28
2024-09-07;-0.5
2024-09-08;-0.27
2024-09-09;-0.91
2024-09-10;-0.84
2024-09-11;-0.17
2024-09-12;-0.04
2024-09-13;-0.43
2024-09-14;-0.52
2024-09-15;-0.01
2024-09-16;-0.86
2024-09-17;-0.45
2024-09-18;0.07
2024-09-19;-0.26
2024-09-20;-0.38
2024-09-21;-0.2
2024-09-22;0.12
2024-09-23;-0.09
2024-09-24;-0.48
2024-09-25;0.3
2024-09-26;-0.42
2024-09-27;-0.6
2024-09-28;-1.07
2024-09-29;-0.65
2024-09-30;-0.46
2024-10-01;-0.29
2024-10-02;-0.02
2024-10-03;0.6
2024-10-04;0.8
2024-10-05;0.14
2024-10-06;-0.32
2024-10-07;-0.45
2024-10-08;-0.97
2024-10-09;-0.92
2024-10-10;-0.69
2024-10-11;0.28
2024-10-12;1.08
2024-10-13;-0.21
2024-10-14;-1.58
2024-10-15;-1.16
2024-10-16;-1.13
2024-10-17;-1.01
2024-10-18;-1.62
2024-10-19;-0.08
2024-10-20;0.41
2024-10-21;-0.54
2024-10-22;-0.33
2024-10-23;-0.81
2024-10-24;-1.82
2024-10-25;-1.23
2024-10-26;-1.59
2024-10-27;-1.74
2024-10-28;-1.71
2024-10-29;-1.48
2024-10-30;-2.13
2024-10-31;-1.71
2024-11-01;-2.3
2024-11-02;-0.67
2024-11-03;-1.3
2024-11-04;-1.8
2024-11-05;-2.15
2024-11-06;-1.96
2024-11-07;-1.4
2024-11-08;-0.56
2024-11-09;-1.74
2024-11-10;-2.79
2024-11-11;-2.9
2024-11-12;-2.69
2024-11-13;-1.72
2024-11-14;-1.68
2024-11-15;-0.99
2024-11-16;-1.73
2024-11-17;-1.9
2024-11-18;-1.53
2024-11-19;-1.53
2024-11-20;-1.5
2024-11-21;0.27
2024-11-22;-0.44
2024-11-23;-1.16
2024-11-24;-1.27
2024-11-25;-1.0
2024-11-26;-0.74
2024-11-27;-0.49
2024-11-28;-0.78
2024-11-29;-1.11
2024-11-30;0.06
2024-12-01;0.02
2024-12-02;-1.2
2024-12-03;-1.14
2024-12-04;-0.94
2024-12-05;-1.57
2024-12-06;-1.65
2024-12-07;-0.77
2024-12-08;0.09
2024-12-09;-0.87
2024-12-10;-1.06
2024-12-11;-0.86
2024-12-12;-0.95
2024-12-13;-0.25
2024-12-14;-1.64
2024-12-15;-1.31
2024-12-16;-0.79
2024-12-17;-0.95
2024-12-18;-0.86
2024-12-19;-1.69
2024-12-20;-0.16
2024-12-21;0.22
2024-12-22;-0.76
2024-12-23;-0.38
2024-12-24;0.14
2024-12-25;-0.3
2024-12-26;-0.54
2024-12-27;-1.45
2024-12-28;-1.29
2024-12-29;0.28
2024-12-30;0.69
2024-12-31;0.88
2025-01-01;0.14
2025-01-02;0.54
2025-01-03;-0.09
2025-01-04;-0.81
2025-01-05;-1.27
2025-01-06;-0.61
2025-01-07;-0.66
2025-01-08;-0.72
2025-01-09;0.26
2025-01-10;0.04
2025-01-11;-0.48
2025-01-12;-1.33
2025-01-13;-0.52
2025-01-14;-0.38
2025-01-15;-1.06
2025-01-16;-0.55
2025-01-17;-0.04
2025-01-18;0.02
2025-01-19;-0.04
2025-01-20;-0.96
2025-01-21;-0.14
2025-01-22;-0.7
2025-01-23;-1.82
2025-01-24;-1.46
2025-01-25;-1.2
2025-01-26;-1.62
2025-01-27;-0.99
2025-01-28;-1.57
2025-01-29;-1.67
2025-01-30;-1.83
2025-01-31;-2.21
2025-02-01;-2.19
2025-02-02;-2.18
2025-02-03;-2.46
2025-02-04;-2.66
2025-02-05;-1.58
2025-02-06;-0.94
2025-02-07;-2.22
2025-02-08;-1.46
2025-02-09;-1.09
2025-02-10;-1.99
2025-02-11;-1.93
2025-02-12;-1.77
2025-02-13;-2.04
2025-02-14;-2.53
2025-02-15;-1.97
2025-02-16;-1.35
2025-02-17;-1.66
2025-02-18;-1.85
2025-02-19;-1.44
2025-02-20;-1.66
2025-02-21;-1.88
2025-02-22;-1.12
2025-02-23;-1.47
2025-02-24;-1.77
2025-02-25;-2.55
2025-02-26;-1.45
2025-02-27;-1.44
2025-02-28;-1.38
2025-03-01;-1.99
2025-03-02;-2.56
2025-03-03;-0.94
2025-03-04;-0.85
2025-03-05;-2.84
2025-03-06;-2.26
2025-03-07;-1.53
2025-03-08;-2.17
2025-03-09;-1.51
2025-03-10;-1.4
2025-03-11;-0.46
2025-03-12;-0.44
2025-03-13;-1.43
2025-03-14;-1.06
2025-03-15;-0.91
2025-03-16;-1.57
2025-03-17;-1.61
2025-03-18;-1.88
2025-03-19;-1.1
2025-03-20;-0.15
2025-03-21;-0.12
2025-03-22;-0.46
2025-03-23;-1.06
2025-03-24;0.35
2025-03-25;0.05
2025-03-26;-0.13
2025-03-27;-0.22
2025-03-28;0.18
2025-03-29;0.77
2025-03-30;0.34
2025-03-31;-0.39
2025-04-01;-0.12
2025-04-02;-0.33
2025-04-03;-0.99
2025-04-04;-1.99
2025-04-05;-1.11
2025-04-06;0.54
2025-04-07;0.35
2025-04-08;-0.37
2025-04-09;-0.06
2025-04-10;-0.11
2025-04-11;-0.53
2025-04-12;-0.78
2025-04-13;-1.02
2025-04-14;-1.4
2025-04-15;-1.29
2025-04-16;-0.62
2025-04-17;-0.77
2025-04-18;-0.07
2025-04-19;0.1
2025-04-20;-0.11
2025-04-21;0.04
2025-04-22;-0.38
2025-04-23;-0.74
2025-04-24;0.1
2025-04-25;0.77
2025-04-26;-1.44
2025-04-27;-0.55
2025-04-28;-0.55
2025-04-29;0.84
2025-04-30;-0.09
2025-05-01;-1.06
2025-05-02;-0.56
2025-05-03;-1.05
2025-05-04;-1.03
2025-05-05;-1.04
2025-05-06;-1.05
2025-05-07;-1.67
2025-05-08;-0.97
2025-05-09;-0.74
2025-05-10;-1.52
2025-05-11;-0.4
2025-05-12;-0.69
2025-05-13;-0.17
2025-05-14;0.2
2025-05-15;-0.2
2025-05-16;-0.87
2025-05-17;-1.66
2025-05-18;-0.92
2025-05-19;-0.56
2025-05-20;-0.9
2025-05-21;-1.18
2025-05-22;-0.87
2025-05-23;-0.87
2025-05-24;-1.18
2025-05-25;-0.0
2025-05-26;-0.76
2025-05-27;-1.3
2025-05-28;-1.8
2025-05-29;-2.7
2025-05-30;-2.21
2025-05-31;-1.56
2025-06-01;-1.56
2025-06-02;-0.89
2025-06-03;-1.18
2025-06-04;-1.94
2025-06-05;-2.67
2025-06-06;-2.2
2025-06-07;-1.71
2025-06-08;-1.94
2025-06-09;-1.58
2025-06-10;-1.13
2025-06-11;-1.56
2025-06-12;-1.15
2025-06-13;-0.4
2025-06-14;-0.26
2025-06-15;-1.09
2025-06-16;-0.89
2025-06-17;-0.35
2025-06-18;-1.27
2025-06-19;-1.66
2025-06-20;-0.55
2025-06-21;-0.18
2025-06-22;-0.08
2025-06-23;-0.3
2025-06-24;-0.61
2025-06-25;-0.69
2025-06-26;0.32
2025-06-27;0.05
2025-06-28;-0.2
2025-06-29;-0.19
2025-06-30;-0.44
2025-07-01;-0.58
2025-07-02;0.15
2025-07-03;0.52
2025-07-04;-0.42
2025-07-05;-0.21
2025-07-06;-0.48
2025-07-07;0.77
2025-07-08;1.37
2025-07-09;-0.25
2025-07-10;0.01
2025-07-11;-0.43
2025-07-12;-0.85
2025-07-13;0.0
2025-07-14;0.54
2025-07-15;-0.56
2025-07-16;-0.39
2025-07-17;0.42
2025-07-18;0.46
2025-07-19;0.89
2025-07-20;0.26
2025-07-21;0.07
2025-07-22;0.87
2025-07-23;0.88
2025-07-24;-0.15
2025-07-25;-0.38
2025-07-26;0.03
2025-07-27;-0.29
2025-07-28;0.54
2025-07-29;-0.34
2025-07-30;-0.66
2025-07-31;0.55
2025-08-01;0.36
2025-08-02;-0.0
2025-08-03;-1.07
2025-08-04;-1.21
2025-08-05;-0.16
2025-08-06;-1.16
2025-08-07;-0.41
2025-08-08;-0.69
2025-08-09;-1.21
2025-08-10;-0.55
2025-08-11;-0.73
2025-08-12;0.91
2025-08-13;0.81
2025-08-14;-0.29
2025-08-15;-0.23
2025-08-16;-0.1
2025-08-17;0.11
2025-08-18;-0.39
2025-08-19;-1.3
2025-08-20;-1.64
2025-08-21;-0.99
2025-08-22;0.04
2025-08-23;-0.39
2025-08-24;-1.23
2025-08-25;-1.13
2025-08-26;-0.82
2025-08-27;-1.18
2025-08-28;-1.59
2025-08-29;-1.26
2025-08-30;-0.82
2025-08-31;-0.51
2025-09-01;-1.08
2025-09-02;-1.56
2025-09-03;-0.78
2025-09-04;-0.77
2025-09-05;-1.37
2025-09-06;-1.13
2025-09-07;-1.12
2025-09-08;-1.39
2025-09-09;0.22
2025-09-10;0.65
2025-09-11;-1.31
2025-09-12;-1.23
2025-09-13;-0.71
2025-09-14;-0.57
2025-09-15;-0.52
2025-09-16;-0.94
2025-09-17;-1.0
2025-09-18;-0.33
2025-09-19;-0.84
2025-09-20;-1.65
2025-09-21;-0.34
2025-09-22;0.11
2025-09-23;-0.26
2025-09-24;-0.25
2025-09-25;-0.34
2025-09-26;-0.2
