;0
2023-04-24;0.31
2023-04-25;-0.5
2023-04-26;-0.36
2023-04-27;1.77
2023-04-28;0.32
2023-04-29;-0.2
2023-04-30;1.12
2023-05-01;-1.21
2023-05-02;0.86
2023-05-03;0.82
2023-05-04;1.25
2023-05-05;-1.65
2023-05-06;1.89
2023-05-07;-0.04
2023-05-08;0.65
2023-05-09;2.29
2023-05-10;0.56
2023-05-11;-0.37
2023-05-12;0.78
2023-05-13;-0.38
2023-05-14;-0.96
2023-05-15;0.63
2023-05-16;1.53
2023-05-17;1.14
2023-05-18;-0.07
2023-05-19;0.17
2023-05-20;-0.66
2023-05-21;0.38
2023-05-22;-0.17
2023-05-23;1.75
2023-05-24;0.22
2023-05-25;-1.39
2023-05-26;-0.6
2023-05-27;-0.77
2023-05-28;1.5
2023-05-29;2.2
2023-05-30;0.89
2023-05-31;0.31
2023-06-01;-0.11
2023-06-02;-1.3
2023-06-03;-0.93
2023-06-04;0.25
2023-06-05;1.29
2023-06-06;1.21
2023-06-07;0.36
2023-06-08;1.09
2023-06-09;0.06
2023-06-10;-0.02
2023-06-11;-0.74
2023-06-12;1.38
2023-06-13;1.63
2023-06-14;1.2
2023-06-15;1.0
2023-06-16;-0.33
2023-06-17;-1.67
2023-06-18;-0.24
2023-06-19;1.09
2023-06-20;1.91
2023-06-21;0.16
2023-06-22;1.7
2023-06-23;0.24
2023-06-24;0.84
2023-06-25;1.03
2023-06-26;0.63
2023-06-27;0.56
2023-06-28;1.17
2023-06-29;-0.19
2023-06-30;0.15
2023-07-01;-0.03
2023-07-02;0.37
2023-07-03;-0.22
2023-07-04;0.15
2023-07-05;-0.96
2023-07-06;0.63
2023-07-07;-1.29
2023-07-08;0.09
2023-07-09;-0.26
2023-07-10;0.23
2023-07-11;0.31
2023-07-12;0.95
2023-07-13;-1.09
2023-07-14;0.1
2023-07-15;0.33
2023-07-16;-1.1
2023-07-17;1.18
2023-07-18;1.73
2023-07-19;-0.71
2023-07-20;1.93
2023-07-21;2.08
2023-07-22;-0.84
2023-07-23;0.11
2023-07-24;1.23
2023-07-25;-0.55
2023-07-26;0.79
2023-07-27;1.49
2023-07-28;-0.47
2023-07-29;0.45
2023-07-30;-0.35
2023-07-31;1.5
2023-08-01;1.21
2023-08-02;3.28
2023-08-03;-0.1
2023-08-04;2.69
2023-08-05;0.15
2023-08-06;-0.76
2023-08-07;1.17
2023-08-08;1.97
2023-08-09;1.11
2023-08-10;0.81
2023-08-11;1.75
2023-08-12;0.31
2023-08-13;0.11
2023-08-14;0.54
2023-08-15;0.32
2023-08-16;-0.19
2023-08-17;1.62
2023-08-18;1.5
2023-08-19;1.02
2023-08-20;0.63
2023-08-21;0.75
2023-08-22;0.97
2023-08-23;2.34
2023-08-24;-0.94
2023-08-25;1.6
2023-08-26;1.71
2023-08-27;-0.05
2023-08-28;0.87
2023-08-29;-0.01
2023-08-30;0.06
2023-08-31;-0.0
2023-09-01;0.71
2023-09-02;0.79
2023-09-03;0.76
2023-09-04;-0.53
2023-09-05;0.46
2023-09-06;0.07
2023-09-07;-0.08
2023-09-08;-0.37
2023-09-09;0.03
2023-09-10;0.96
2023-09-11;-0.15
2023-09-12;2.04
2023-09-13;-0.22
2023-09-14;1.31
2023-09-15;0.64
2023-09-16;-0.59
2023-09-17;-0.17
2023-09-18;0.41
2023-09-19;1.46
2023-09-20;0.56
2023-09-21;1.22
2023-09-22;-0.32
2023-09-23;0.23
2023-09-24;-0.17
2023-09-25;0.06
2023-09-26;1.65
2023-09-27;1.17
2023-09-28;1.04
2023-09-29;0.45
2023-09-30;2.61
2023-10-01;2.4
2023-10-02;1.65
2023-10-03;1.31
2023-10-04;0.37
2023-10-05;1.57
2023-10-06;0.9
2023-10-07;2.06
2023-10-08;0.6
2023-10-09;1.0
2023-10-10;1.79
2023-10-11;-0.44
2023-10-12;0.69
2023-10-13;-0.82
2023-10-14;0.38
2023-10-15;0.83
2023-10-16;0.42
2023-10-17;-0.93
2023-10-18;-1.08
2023-10-19;-0.63
2023-10-20;0.78
2023-10-21;-0.15
2023-10-22;-0.03
2023-10-23;1.78
2023-10-24;1.38
2023-10-25;1.53
2023-10-26;0.34
2023-10-27;0.6
2023-10-28;0.66
2023-10-29;0.55
2023-10-30;1.5
2023-10-31;1.88
2023-11-01;1.85
2023-11-02;1.64
2023-11-03;0.71
2023-11-04;0.93
2023-11-05;1.36
2023-11-06;0.19
2023-11-07;1.35
2023-11-08;2.27
2023-11-09;0.56
2023-11-10;-0.43
2023-11-11;-0.31
2023-11-12;-0.46
2023-11-13;0.38
2023-11-14;0.81
2023-11-15;2.63
2023-11-16;0.18
2023-11-17;2.14
2023-11-18;0.49
2023-11-19;0.57
2023-11-20;0.54
2023-11-21;1.05
2023-11-22;-0.76
2023-11-23;1.47
2023-11-24;2.15
2023-11-25;1.02
2023-11-26;1.19
2023-11-27;1.24
2023-11-28;-0.45
2023-11-29;-0.28
2023-11-30;0.16
2023-12-01;-0.52
2023-12-02;1.34
2023-12-03;1.88
2023-12-04;0.67
2023-12-05;0.48
2023-12-06;0.37
2023-12-07;2.54
2023-12-08;2.76
2023-12-09;0.22
2023-12-10;0.81
2023-12-11;0.39
2023-12-12;-0.82
2023-12-13;-0.15
2023-12-14;0.61
2023-12-15;0.79
2023-12-16;0.33
2023-12-17;-1.46
2023-12-18;1.65
2023-12-19;-0.48
2023-12-20;-0.03
2023-12-21;0.83
2023-12-22;-0.9
2023-12-23;1.26
2023-12-24;-0.08
2023-12-25;1.27
2023-12-26;3.16
2023-12-27;0.72
2023-12-28;-0.17
2023-12-29;0.12
2023-12-30;0.42
2023-12-31;2.45
2024-01-01;1.73
2024-01-02;-0.51
2024-01-03;1.58
2024-01-04;0.82
2024-01-05;0.32
2024-01-06;1.01
2024-01-07;-0.35
2024-01-08;2.06
2024-01-09;-0.04
2024-01-10;1.4
2024-01-11;3.13
2024-01-12;1.85
2024-01-13;0.45
2024-01-14;0.84
2024-01-15;0.99
2024-01-16;1.9
2024-01-17;1.17
2024-01-18;1.44
2024-01-19;1.57
2024-01-20;1.28
2024-01-21;0.3
2024-01-22;1.72
2024-01-23;0.67
2024-01-24;0.33
2024-01-25;-0.34
2024-01-26;4.26
2024-01-27;1.73
2024-01-28;0.96
2024-01-29;1.51
2024-01-30;1.35
2024-01-31;1.46
2024-02-01;1.6
2024-02-02;0.22
2024-02-03;1.11
2024-02-04;2.13
2024-02-05;1.51
2024-02-06;1.5
2024-02-07;-0.29
2024-02-08;1.3
2024-02-09;0.98
2024-02-10;1.64
2024-02-11;0.86
2024-02-12;0.72
2024-02-13;0.62
2024-02-14;0.94
2024-02-15;2.45
2024-02-16;0.94
2024-02-17;1.07
2024-02-18;-0.59
2024-02-19;0.66
2024-02-20;0.46
2024-02-21;0.18
2024-02-22;1.96
2024-02-23;2.33
2024-02-24;0.11
2024-02-25;1.01
2024-02-26;-0.76
2024-02-27;0.91
2024-02-28;2.69
2024-02-29;-0.34
2024-03-01;0.02
2024-03-02;1.0
2024-03-03;0.9
2024-03-04;0.08
2024-03-05;-0.49
2024-03-06;-0.67
2024-03-07;0.52
2024-03-08;0.96
2024-03-09;0.6
2024-03-10;0.09
2024-03-11;1.04
2024-03-12;0.91
2024-03-13;-0.03
2024-03-14;1.31
2024-03-15;1.31
2024-03-16;0.69
2024-03-17;-0.4
2024-03-18;1.13
2024-03-19;1.5
2024-03-20;2.64
2024-03-21;1.44
2024-03-22;1.5
2024-03-23;1.82
2024-03-24;2.77
2024-03-25;-0.27
2024-03-26;1.08
2024-03-27;1.49
2024-03-28;1.04
2024-03-29;0.59
2024-03-30;1.97
2024-03-31;0.15
2024-04-01;1.94
2024-04-02;2.08
2024-04-03;2.07
2024-04-04;-1.94
2024-04-05;0.29
2024-04-06;1.44
2024-04-07;0.72
2024-04-08;0.14
2024-04-09;1.98
2024-04-10;1.88
2024-04-11;3.17
2024-04-12;1.91
2024-04-13;0.95
2024-04-14;-0.16
2024-04-15;0.84
2024-04-16;2.01
2024-04-17;1.19
2024-04-18;2.92
2024-04-19;0.89
2024-04-20;1.18
2024-04-21;0.8
2024-04-22;-1.43
2024-04-23;1.57
2024-04-24;-0.06
2024-04-25;0.7
2024-04-26;1.97
2024-04-27;-0.05
2024-04-28;1.42
2024-04-29;0.1
2024-04-30;-1.35
2024-05-01;1.05
2024-05-02;-0.42
2024-05-03;0.67
2024-05-04;0.51
2024-05-05;0.12
2024-05-06;0.81
2024-05-07;1.43
2024-05-08;1.04
2024-05-09;0.79
2024-05-10;0.08
2024-05-11;1.62
2024-05-12;0.88
2024-05-13;0.86
2024-05-14;0.5
2024-05-15;0.37
2024-05-16;1.31
2024-05-17;1.06
2024-05-18;2.54
2024-05-19;-0.2
2024-05-20;0.79
2024-05-21;2.62
2024-05-22;1.24
2024-05-23;1.16
2024-05-24;-1.5
2024-05-25;0.28
2024-05-26;1.15
2024-05-27;-0.9
2024-05-28;1.2
2024-05-29;0.98
2024-05-30;1.01
2024-05-31;1.08
2024-06-01;-0.28
2024-06-02;0.82
2024-06-03;-0.33
2024-06-04;2.55
2024-06-05;1.0
2024-06-06;0.66
2024-06-07;0.97
2024-06-08;0.81
2024-06-09;1.76
2024-06-10;1.79
2024-06-11;-1.58
2024-06-12;2.11
2024-06-13;1.24
2024-06-14;1.13
2024-06-15;0.92
2024-06-16;1.7
2024-06-17;0.51
2024-06-18;2.18
2024-06-19;1.02
2024-06-20;2.26
2024-06-21;1.79
2024-06-22;1.02
2024-06-23;0.81
2024-06-24;0.82
2024-06-25;1.85
2024-06-26;2.26
2024-06-27;1.53
2024-06-28;2.03
2024-06-29;0.28
2024-06-30;1.96
2024-07-01;1.49
2024-07-02;1.33
2024-07-03;-0.44
2024-07-04;2.06
2024-07-05;1.75
2024-07-06;0.86
2024-07-07;2.22
2024-07-08;1.08
2024-07-09;0.82
2024-07-10;1.3
2024-07-11;0.01
2024-07-12;1.55
2024-07-13;0.64
2024-07-14;-0.01
2024-07-15;0.55
2024-07-16;0.55
2024-07-17;2.65
2024-07-18;0.84
2024-07-19;0.15
2024-07-20;0.78
2024-07-21;0.86
2024-07-22;0.46
2024-07-23;2.3
2024-07-24;-0.49
2024-07-25;1.32
2024-07-26;1.25
2024-07-27;1.98
2024-07-28;0.38
2024-07-29;1.48
2024-07-30;1.35
2024-07-31;0.54
2024-08-01;2.59
2024-08-02;2.06
2024-08-03;0.2
2024-08-04;1.47
2024-08-05;0.23
2024-08-06;2.89
2024-08-07;2.34
2024-08-08;2.43
2024-08-09;2.57
2024-08-10;0.51
2024-08-11;2.57
2024-08-12;1.49
2024-08-13;1.15
2024-08-14;1.72
2024-08-15;1.65
2024-08-16;0.93
2024-08-17;1.53
2024-08-18;0.62
2024-08-19;1.63
2024-08-20;2.48
2024-08-21;1.02
2024-08-22;0.82
2024-08-23;1.78
2024-08-24;2.97
2024-08-25;2.46
2024-08-26;2.77
2024-08-27;0.51
2024-08-28;1.89
2024-08-29;3.27
2024-08-30;-0.11
2024-08-31;0.53
2024-09-01;0.85
2024-09-02;-0.29
2024-09-03;1.13
2024-09-04;1.75
2024-09-05;-0.98
2024-09-06;3.85
2024-09-07;-0.78
2024-09-08;2.82
2024-09-09;2.94
2024-09-10;1.32
2024-09-11;1.51
2024-09-12;1.12
2024-09-13;1.78
2024-09-14;0.6
2024-09-15;0.28
2024-09-16;1.73
2024-09-17;1.09
2024-09-18;2.56
2024-09-19;2.31
2024-09-20;0.59
2024-09-21;0.89
2024-09-22;2.02
2024-09-23;0.31
2024-09-24;2.0
2024-09-25;2.78
2024-09-26;1.62
2024-09-27;1.13
2024-09-28;2.77
2024-09-29;0.37
2024-09-30;-0.91
2024-10-01;0.3
2024-10-02;-0.53
2024-10-03;-0.29
2024-10-04;3.6
2024-10-05;1.3
2024-10-06;0.44
2024-10-07;1.17
2024-10-08;0.02
2024-10-09;1.34
2024-10-10;2.16
2024-10-11;0.46
2024-10-12;-0.18
2024-10-13;-0.3
2024-10-14;3.36
2024-10-15;-0.46
2024-10-16;2.21
2024-10-17;2.98
2024-10-18;-1.46
2024-10-19;1.93
2024-10-20;0.93
2024-10-21;0.5
2024-10-22;0.2
2024-10-23;1.92
2024-10-24;1.67
2024-10-25;2.48
2024-10-26;0.51
2024-10-27;2.17
2024-10-28;1.11
2024-10-29;2.45
2024-10-30;1.71
2024-10-31;1.6
2024-11-01;0.96
2024-11-02;-0.3
2024-11-03;-0.07
2024-11-04;1.83
2024-11-05;0.79
2024-11-06;2.25
2024-11-07;3.53
2024-11-08;2.65
2024-11-09;0.43
2024-11-10;2.09
2024-11-11;0.42
2024-11-12;2.6
2024-11-13;0.59
2024-11-14;0.85
2024-11-15;0.69
2024-11-16;-0.56
2024-11-17;3.16
2024-11-18;2.04
2024-11-19;1.77
2024-11-20;3.35
2024-11-21;0.66
2024-11-22;-0.21
2024-11-23;0.73
2024-11-24;2.64
2024-11-25;-1.7
2024-11-26;-0.26
2024-11-27;1.45
2024-11-28;-0.21
2024-11-29;1.43
2024-11-30;2.96
2024-12-01;1.05
2024-12-02;2.39
2024-12-03;1.19
2024-12-04;2.46
2024-12-05;3.15
2024-12-06;2.31
2024-12-07;-0.73
2024-12-08;2.24
2024-12-09;3.02
2024-12-10;3.58
2024-12-11;1.83
2024-12-12;0.39
2024-12-13;3.16
2024-12-14;3.18
2024-12-15;0.49
2024-12-16;0.6
2024-12-17;0.85
2024-12-18;2.12
2024-12-19;0.5
2024-12-20;3.03
2024-12-21;1.7
2024-12-22;1.75
2024-12-23;0.89
2024-12-24;0.98
2024-12-25;2.19
2024-12-26;1.41
2024-12-27;0.86
2024-12-28;-0.31
2024-12-29;2.4
2024-12-30;0.62
2024-12-31;1.22
2025-01-01;0.67
2025-01-02;1.41
2025-01-03;2.83
2025-01-04;1.64
2025-01-05;1.81
2025-01-06;-0.98
2025-01-07;0.26
2025-01-08;1.1
2025-01-09;0.39
2025-01-10;2.13
2025-01-11;1.71
2025-01-12;2.28
2025-01-13;2.4
2025-01-14;0.41
2025-01-15;1.57
2025-01-16;1.51
2025-01-17;2.95
2025-01-18;2.0
2025-01-19;2.2
2025-01-20;0.49
2025-01-21;0.26
2025-01-22;0.92
2025-01-23;1.42
2025-01-24;-0.13
2025-01-25;2.47
2025-01-26;-0.26
2025-01-27;1.13
2025-01-28;0.78
2025-01-29;2.46
2025-01-30;0.18
2025-01-31;-0.31
2025-02-01;1.79
2025-02-02;0.6
2025-02-03;1.18
2025-02-04;1.48
2025-02-05;1.51
2025-02-06;2.72
2025-02-07;3.15
2025-02-08;0.61
2025-02-09;1.79
2025-02-10;3.08
2025-02-11;1.51
2025-02-12;1.65
2025-02-13;1.82
2025-02-14;0.66
2025-02-15;2.69
2025-02-16;2.6
2025-02-17;2.37
2025-02-18;1.09
2025-02-19;1.88
2025-02-20;1.46
2025-02-21;1.09
2025-02-22;0.81
2025-02-23;2.24
2025-02-24;1.64
2025-02-25;0.96
2025-02-26;1.66
2025-02-27;0.76
2025-02-28;0.53
2025-03-01;0.61
2025-03-02;3.27
2025-03-03;2.3
2025-03-04;2.55
2025-03-05;1.78
2025-03-06;1.44
2025-03-07;0.38
2025-03-08;1.94
2025-03-09;0.49
2025-03-10;1.75
2025-03-11;3.24
2025-03-12;2.22
2025-03-13;2.59
2025-03-14;1.37
2025-03-15;1.37
2025-03-16;2.85
2025-03-17;1.35
2025-03-18;2.69
2025-03-19;0.97
2025-03-20;4.01
2025-03-21;1.57
2025-03-22;0.83
2025-03-23;2.61
2025-03-24;1.85
2025-03-25;1.33
2025-03-26;2.34
2025-03-27;0.65
2025-03-28;-0.56
2025-03-29;2.05
2025-03-30;0.18
2025-03-31;2.04
2025-04-01;1.86
2025-04-02;3.19
2025-04-03;1.16
2025-04-04;0.94
2025-04-05;1.55
2025-04-06;2.31
2025-04-07;2.2
2025-04-08;2.56
2025-04-09;3.2
2025-04-10;2.38
2025-04-11;0.75
2025-04-12;1.9
2025-04-13;-0.04
2025-04-14;2.09
2025-04-15;1.81
2025-04-16;-0.16
2025-04-17;1.14
2025-04-18;1.59
2025-04-19;2.66
2025-04-20;3.19
2025-04-21;1.99
2025-04-22;0.55
2025-04-23;4.47
2025-04-24;0.81
2025-04-25;0.47
2025-04-26;1.7
2025-04-27;0.79
2025-04-28;0.68
2025-04-29;0.66
2025-04-30;0.98
2025-05-01;1.97
2025-05-02;2.3
2025-05-03;2.35
2025-05-04;2.41
2025-05-05;1.28
2025-05-06;-0.51
2025-05-07;-1.19
2025-05-08;0.87
2025-05-09;1.4
2025-05-10;2.15
2025-05-11;2.28
2025-05-12;3.78
2025-05-13;1.44
2025-05-14;0.57
2025-05-15;1.96
2025-05-16;1.54
2025-05-17;2.19
2025-05-18;3.29
2025-05-19;0.92
2025-05-20;3.1
2025-05-21;2.34
2025-05-22;-0.22
2025-05-23;2.92
2025-05-24;2.36
2025-05-25;3.2
2025-05-26;3.14
2025-05-27;0.46
2025-05-28;2.67
2025-05-29;0.6
2025-05-30;1.49
2025-05-31;-0.18
2025-06-01;1.68
2025-06-02;1.78
2025-06-03;1.44
2025-06-04;2.83
2025-06-05;1.51
2025-06-06;0.41
2025-06-07;2.23
2025-06-08;1.27
2025-06-09;2.12
2025-06-10;2.01
2025-06-11;2.76
2025-06-12;1.0
2025-06-13;2.56
2025-06-14;0.55
2025-06-15;2.98
2025-06-16;0.99
2025-06-17;1.66
2025-06-18;1.03
2025-06-19;0.66
2025-06-20;-0.2
2025-06-21;0.26
2025-06-22;0.84
2025-06-23;0.1
2025-06-24;3.61
2025-06-25;1.12
2025-06-26;1.14
2025-06-27;3.09
2025-06-28;1.33
2025-06-29;2.5
2025-06-30;1.09
2025-07-01;2.3
2025-07-02;2.21
2025-07-03;2.25
2025-07-04;0.75
2025-07-05;1.71
2025-07-06;2.31
2025-07-07;2.51
2025-07-08;2.6
2025-07-09;2.19
2025-07-10;1.5
2025-07-11;2.13
2025-07-12;2.82
2025-07-13;2.02
2025-07-14;2.14
2025-07-15;1.6
2025-07-16;2.67
2025-07-17;0.91
2025-07-18;3.56
2025-07-19;1.71
2025-07-20;1.13
2025-07-21;2.59
2025-07-22;2.54
2025-07-23;0.69
2025-07-24;0.68
2025-07-25;3.41
2025-07-26;1.66
2025-07-27;2.51
2025-07-28;2.89
2025-07-29;1.74
2025-07-30;-1.47
2025-07-31;1.42
2025-08-01;0.06
2025-08-02;0.92
2025-08-03;0.7
2025-08-04;1.05
2025-08-05;1.87
2025-08-06;1.19
2025-08-07;2.72
2025-08-08;1.15
2025-08-09;2.14
2025-08-10;1.07
2025-08-11;1.41
2025-08-12;3.88
2025-08-13;2.27
2025-08-14;2.43
2025-08-15;3.91
2025-08-16;1.33
2025-08-17;2.31
2025-08-18;1.22
2025-08-19;2.71
2025-08-20;3.16
2025-08-21;2.78
2025-08-22;0.69
2025-08-23;3.53
2025-08-24;2.08
2025-08-25;1.21
2025-08-26;2.69
2025-08-27;3.11
2025-08-28;3.82
2025-08-29;2.0
2025-08-30;2.31
2025-08-31;2.11
2025-09-01;2.03
2025-09-02;2.34
2025-09-03;-0.32
2025-09-04;2.53
2025-09-05;2.09
2025-09-06;2.35
2025-09-07;4.1
2025-09-08;1.02
2025-09-09;1.65
2025-09-10;0.12
2025-09-11;2.65
2025-09-12;1.9
2025-09-13;2.25
2025-09-14;3.97
2025-09-15;2.79
2025-09-16;1.29
2025-09-17;2.29
2025-09-18;1.03
2025-09-19;3.1
2025-09-20;2.14
2025-09-21;2.09
2025-09-22;2.95
2025-09-23;2.32
2025-09-24;2.29
2025-09-25;2.98
2025-09-26;4.09
