date;Y;X
2023-04-10;0.31;yes
2023-04-11;0.94;no
2023-04-12;0.86;yes
2023-04-13;-1.39;yes
2023-04-14;0.2;no
2023-04-15;0.36;no
2023-04-16;0.14;yes
2023-04-17;0.66;yes
2023-04-18;0.35;no
2023-04-19;0.08;no
2023-04-20;0.63;no
2023-04-21;0.8;yes
2023-04-22;0.8;yes
2023-04-23;0.77;no
2023-04-24;0.68;no
2023-04-25;0.88;no
2023-04-26;0.19;no
2023-04-27;1.28;yes
2023-04-28;0.67;no
2023-04-29;0.96;yes
2023-04-30;0.08;no
2023-05-01;0.21;no
2023-05-02;0.19;yes
2023-05-03;0.83;yes
2023-05-04;0.27;no
2023-05-05;0.5;no
2023-05-06;0.13;yes
2023-05-07;0.54;no
2023-05-08;0.88;no
2023-05-09;0.82;no
2023-05-10;0.53;no
2023-05-11;0.5;no
2023-05-12;0.71;yes
2023-05-13;0.66;yes
2023-05-14;0.16;no
2023-05-15;0.65;yes
2023-05-16;0.04;yes
2023-05-17;0.44;yes
2023-05-18;0.14;yes
2023-05-19;0.77;yes
2023-05-20;0.99;no
2023-05-21;0.19;yes
2023-05-22;0.75;no
2023-05-23;0.95;no
2023-05-24;0.89;no
2023-05-25;0.12;no
2023-05-26;-1.93;yes
2023-05-27;0.32;yes
2023-05-28;0.59;no
2023-05-29;0.34;yes
2023-05-30;0.01;no
2023-05-31;0.43;no
2023-06-01;0.55;yes
2023-06-02;0.52;no
2023-06-03;0.27;no
2023-06-04;0.64;yes
2023-06-05;0.09;yes
2023-06-06;0.44;no
2023-06-07;0.25;no
2023-06-08;0.12;yes
2023-06-09;-1.5;yes
2023-06-10;0.37;yes
2023-06-11;0.37;yes
2023-06-12;0.97;no
2023-06-13;0.32;no
2023-06-14;0.37;yes
2023-06-15;0.27;no
2023-06-16;0.19;no
2023-06-17;0.32;yes
2023-06-18;0.33;yes
2023-06-19;0.66;no
2023-06-20;1.36;yes
2023-06-21;0.26;no
2023-06-22;0.83;yes
2023-06-23;0.27;no
2023-06-24;0.96;no
2023-06-25;0.88;no
2023-06-26;0.23;no
2023-06-27;0.09;no
2023-06-28;0.53;no
2023-06-29;0.62;yes
2023-06-30;0.17;yes
2023-07-01;0.02;no
2023-07-02;-0.5;yes
2023-07-03;-1.07;yes
2023-07-04;0.48;yes
2023-07-05;0.33;no
2023-07-06;0.92;yes
2023-07-07;0.4;yes
2023-07-08;0.41;no
2023-07-09;0.71;no
2023-07-10;0.59;no
2023-07-11;0.73;no
2023-07-12;0.17;no
2023-07-13;0.88;yes
2023-07-14;0.31;yes
2023-07-15;0.43;no
2023-07-16;0.45;yes
2023-07-17;0.93;yes
2023-07-18;-0.35;yes
2023-07-19;0.26;no
2023-07-20;0.55;yes
2023-07-21;-1.7;yes
2023-07-22;0.29;yes
2023-07-23;-0.09;yes
2023-07-24;0.29;no
2023-07-25;0.41;yes
2023-07-26;0.32;yes
2023-07-27;1.81;yes
2023-07-28;0.21;yes
2023-07-29;0.1;yes
2023-07-30;0.15;no
2023-07-31;0.28;no
2023-08-01;0.3;no
2023-08-02;0.48;no
2023-08-03;0.36;no
2023-08-04;0.79;no
2023-08-05;0.25;yes
2023-08-06;0.19;no
2023-08-07;0.95;no
2023-08-08;0.94;no
2023-08-09;0.42;yes
2023-08-10;0.13;yes
2023-08-11;0.17;yes
2023-08-12;0.46;no
2023-08-13;0.66;no
2023-08-14;0.92;no
2023-08-15;0.72;no
2023-08-16;0.17;yes
2023-08-17;0.37;yes
2023-08-18;0.59;no
2023-08-19;-0.12;yes
2023-08-20;0.65;no
2023-08-21;2.01;yes
2023-08-22;0.13;yes
2023-08-23;-0.93;yes
2023-08-24;0.82;no
2023-08-25;0.99;yes
2023-08-26;0.89;no
2023-08-27;0.67;yes
2023-08-28;0.99;yes
2023-08-29;0.95;no
2023-08-30;0.61;no
2023-08-31;0.47;yes
2023-09-01;0.41;no
2023-09-02;-0.34;yes
2023-09-03;0.09;yes
2023-09-04;0.51;no
2023-09-05;0.78;yes
2023-09-06;-1.24;yes
2023-09-07;0.86;no
2023-09-08;0.46;no
2023-09-09;0.29;yes
2023-09-10;0.09;no
2023-09-11;0.44;no
2023-09-12;0.02;yes
2023-09-13;0.43;no
2023-09-14;0.82;no
2023-09-15;0.16;yes
2023-09-16;0.11;no
2023-09-17;0.54;no
2023-09-18;0.16;no
2023-09-19;0.49;yes
2023-09-20;0.65;no
2023-09-21;0.15;no
2023-09-22;0.57;yes
2023-09-23;0.27;yes
2023-09-24;0.92;no
2023-09-25;0.9;no
2023-09-26;1.25;yes
2023-09-27;0.37;no
2023-09-28;0.33;no
2023-09-29;0.29;yes
2023-09-30;0.71;no
2023-10-01;0.41;no
2023-10-02;0.54;no
2023-10-03;0.45;yes
2023-10-04;0.74;no
2023-10-05;0.44;yes
2023-10-06;0.02;yes
2023-10-07;0.19;no
2023-10-08;0.32;no
2023-10-09;0.2;no
2023-10-10;0.76;no
2023-10-11;0.08;no
2023-10-12;0.36;yes
2023-10-13;0.98;no
2023-10-14;0.44;no
2023-10-15;0.29;yes
2023-10-16;0.74;yes
2023-10-17;0.29;no
2023-10-18;0.11;no
2023-10-19;0.39;yes
2023-10-20;0.43;no
2023-10-21;0.56;no
2023-10-22;0.1;no
2023-10-23;0.16;no
2023-10-24;0.52;no
2023-10-25;0.63;yes
2023-10-26;0.81;yes
2023-10-27;0.55;no
2023-10-28;0.77;yes
2023-10-29;0.93;yes
2023-10-30;0.24;no
2023-10-31;0.12;yes
2023-11-01;0.97;yes
2023-11-02;0.31;yes
2023-11-03;0.35;no
2023-11-04;0.09;no
2023-11-05;0.05;yes
2023-11-06;0.23;yes
2023-11-07;-1.05;yes
2023-11-08;0.68;yes
2023-11-09;0.91;no
2023-11-10;0.3;no
2023-11-11;0.51;no
2023-11-12;1.0;no
2023-11-13;0.05;no
2023-11-14;0.93;no
2023-11-15;0.89;no
2023-11-16;0.29;yes
2023-11-17;1.0;yes
2023-11-18;-1.28;yes
2023-11-19;0.35;no
2023-11-20;0.13;no
2023-11-21;0.77;no
2023-11-22;-1.05;yes
2023-11-23;0.21;yes
2023-11-24;0.13;no
2023-11-25;0.24;yes
2023-11-26;0.41;yes
2023-11-27;-0.2;yes
2023-11-28;0.76;yes
2023-11-29;0.66;no
2023-11-30;0.51;yes
2023-12-01;0.29;no
2023-12-02;0.41;no
2023-12-03;0.2;no
2023-12-04;0.65;no
2023-12-05;0.51;no
2023-12-06;0.31;yes
2023-12-07;0.89;yes
2023-12-08;0.36;no
2023-12-09;0.43;yes
2023-12-10;-0.49;yes
2023-12-11;0.43;no
2023-12-12;0.96;yes
2023-12-13;0.45;no
2023-12-14;0.9;no
2023-12-15;0.64;yes
2023-12-16;0.2;no
2023-12-17;0.84;no
2023-12-18;0.39;no
2023-12-19;0.76;yes
2023-12-20;0.98;no
2023-12-21;0.09;no
2023-12-22;1.0;yes
2023-12-23;0.3;yes
2023-12-24;0.04;yes
2023-12-25;0.82;no
2023-12-26;0.37;yes
2023-12-27;0.31;no
2023-12-28;0.0;no
2023-12-29;0.56;yes
2023-12-30;0.24;yes
2023-12-31;0.63;yes
2024-01-01;0.05;no
2024-01-02;0.16;no
2024-01-03;0.25;yes
2024-01-04;0.92;no
2024-01-05;0.73;no
2024-01-06;0.31;no
2024-01-07;0.49;yes
2024-01-08;0.07;yes
2024-01-09;0.06;yes
2024-01-10;0.11;no
2024-01-11;0.48;yes
2024-01-12;0.66;yes
2024-01-13;0.58;yes
2024-01-14;0.69;no
2024-01-15;0.59;no
2024-01-16;0.48;yes
2024-01-17;0.53;yes
2024-01-18;0.48;no
2024-01-19;0.54;no
2024-01-20;0.25;no
2024-01-21;0.53;no
2024-01-22;0.34;yes
2024-01-23;0.22;yes
2024-01-24;0.69;yes
2024-01-25;0.6;yes
2024-01-26;-0.5;yes
2024-01-27;0.13;no
2024-01-28;0.12;no
2024-01-29;0.26;yes
2024-01-30;0.91;yes
2024-01-31;0.11;yes
2024-02-01;-0.43;yes
2024-02-02;0.03;no
2024-02-03;1.0;yes
2024-02-04;0.78;yes
2024-02-05;1.67;yes
2024-02-06;0.33;no
2024-02-07;0.49;no
2024-02-08;0.35;no
2024-02-09;0.71;no
2024-02-10;1.18;yes
2024-02-11;0.0;yes
2024-02-12;0.93;yes
2024-02-13;0.36;no
2024-02-14;0.84;no
2024-02-15;0.8;no
2024-02-16;0.19;yes
2024-02-17;0.74;yes
2024-02-18;0.56;no
2024-02-19;0.72;no
2024-02-20;0.25;no
2024-02-21;0.01;no
2024-02-22;0.08;no
2024-02-23;0.89;no
2024-02-24;0.62;no
2024-02-25;0.81;no
2024-02-26;0.57;no
2024-02-27;0.03;yes
2024-02-28;0.01;yes
2024-02-29;0.4;no
2024-03-01;0.4;yes
2024-03-02;0.24;no
2024-03-03;0.34;yes
2024-03-04;0.89;no
2024-03-05;0.68;yes
2024-03-06;0.9;yes
2024-03-07;0.99;no
2024-03-08;0.43;no
2024-03-09;0.74;no
2024-03-10;0.87;yes
2024-03-11;-0.16;yes
2024-03-12;0.45;yes
2024-03-13;0.63;yes
2024-03-14;0.91;yes
2024-03-15;0.56;no
2024-03-16;0.98;no
2024-03-17;0.99;no
2024-03-18;-0.58;yes
2024-03-19;0.89;no
2024-03-20;1.7;yes
2024-03-21;0.19;no
2024-03-22;0.16;no
2024-03-23;0.48;yes
2024-03-24;0.97;no
2024-03-25;0.61;yes
2024-03-26;0.39;no
2024-03-27;0.43;no
2024-03-28;0.83;no
2024-03-29;0.34;no
2024-03-30;0.61;no
2024-03-31;0.04;no
2024-04-01;0.45;no
2024-04-02;0.59;no
2024-04-03;0.06;yes
2024-04-04;-0.88;yes
2024-04-05;0.83;yes
2024-04-06;0.72;yes
2024-04-07;0.52;yes
2024-04-08;-0.06;yes
2024-04-09;0.58;yes
2024-04-10;-1.29;yes
2024-04-11;0.78;no
2024-04-12;0.75;yes
2024-04-13;0.57;yes
2024-04-14;0.41;no
2024-04-15;0.44;no
2024-04-16;-0.43;yes
2024-04-17;0.43;no
2024-04-18;0.53;no
2024-04-19;0.81;no
2024-04-20;-0.5;yes
2024-04-21;0.37;yes
2024-04-22;0.95;yes
2024-04-23;0.75;no
2024-04-24;0.38;yes
2024-04-25;0.4;yes
2024-04-26;0.9;yes
2024-04-27;0.98;no
2024-04-28;-0.57;yes
2024-04-29;1.55;yes
2024-04-30;0.84;yes
2024-05-01;1.21;yes
2024-05-02;0.91;yes
2024-05-03;0.26;yes
2024-05-04;0.69;no
2024-05-05;0.4;yes
2024-05-06;0.8;no
2024-05-07;-2.69;yes
2024-05-08;0.42;yes
2024-05-09;0.1;no
2024-05-10;0.38;yes
2024-05-11;0.94;yes
2024-05-12;0.08;yes
2024-05-13;0.3;no
2024-05-14;-1.06;yes
2024-05-15;0.37;no
2024-05-16;0.27;no
2024-05-17;0.33;yes
2024-05-18;0.73;no
2024-05-19;0.76;yes
2024-05-20;0.73;no
2024-05-21;0.91;no
2024-05-22;0.96;no
2024-05-23;-1.38;yes
2024-05-24;0.96;yes
2024-05-25;0.76;no
2024-05-26;0.72;yes
2024-05-27;0.5;yes
2024-05-28;0.64;no
2024-05-29;0.68;yes
2024-05-30;0.87;no
2024-05-31;0.67;no
2024-06-01;0.71;no
2024-06-02;0.39;no
2024-06-03;0.93;yes
2024-06-04;0.98;no
2024-06-05;0.09;yes
2024-06-06;0.87;yes
2024-06-07;0.32;no
2024-06-08;0.77;yes
2024-06-09;0.85;yes
2024-06-10;0.63;no
2024-06-11;0.38;yes
2024-06-12;0.92;yes
2024-06-13;0.31;no
2024-06-14;0.6;no
2024-06-15;0.09;no
2024-06-16;0.11;yes
2024-06-17;0.38;no
2024-06-18;-1.26;yes
2024-06-19;0.44;yes
2024-06-20;0.77;no
2024-06-21;0.87;no
2024-06-22;0.23;no
2024-06-23;0.66;no
2024-06-24;0.82;yes
2024-06-25;0.99;no
2024-06-26;0.61;no
2024-06-27;0.95;yes
2024-06-28;0.56;no
2024-06-29;-0.15;yes
2024-06-30;0.03;no
2024-07-01;0.95;no
2024-07-02;0.58;no
2024-07-03;0.64;no
2024-07-04;0.0;no
2024-07-05;0.62;yes
2024-07-06;0.48;yes
2024-07-07;0.94;yes
2024-07-08;0.7;no
2024-07-09;0.64;no
2024-07-10;0.84;no
2024-07-11;0.42;no
2024-07-12;0.95;yes
2024-07-13;0.62;yes
2024-07-14;0.25;no
2024-07-15;0.9;no
2024-07-16;0.61;no
2024-07-17;0.99;no
2024-07-18;0.19;yes
2024-07-19;0.2;yes
2024-07-20;1.0;yes
2024-07-21;0.76;no
2024-07-22;0.73;no
2024-07-23;0.55;no
2024-07-24;0.54;yes
2024-07-25;0.07;no
2024-07-26;0.69;yes
2024-07-27;0.46;no
2024-07-28;0.77;no
2024-07-29;0.53;yes
2024-07-30;0.84;yes
2024-07-31;0.83;no
2024-08-01;0.22;no
2024-08-02;0.35;yes
2024-08-03;0.9;no
2024-08-04;1.0;yes
2024-08-05;0.36;no
2024-08-06;0.53;no
2024-08-07;0.33;no
2024-08-08;0.82;no
2024-08-09;0.65;yes
2024-08-10;0.87;no
2024-08-11;0.48;yes
2024-08-12;-0.88;yes
2024-08-13;0.55;no
2024-08-14;0.45;no
2024-08-15;0.32;no
2024-08-16;-1.69;yes
2024-08-17;0.51;no
2024-08-18;0.82;yes
2024-08-19;0.61;yes
2024-08-20;0.54;yes
2024-08-21;-1.83;yes
2024-08-22;0.15;no
2024-08-23;1.45;yes
2024-08-24;0.91;yes
2024-08-25;0.22;yes
2024-08-26;-1.06;yes
2024-08-27;0.85;yes
2024-08-28;0.7;no
2024-08-29;0.04;no
2024-08-30;-0.36;yes
2024-08-31;0.99;yes
2024-09-01;0.18;no
2024-09-02;0.69;yes
2024-09-03;0.59;yes
2024-09-04;0.8;yes
2024-09-05;0.5;no
2024-09-06;0.55;no
2024-09-07;0.93;no
2024-09-08;0.97;no
2024-09-09;0.19;no
2024-09-10;0.41;no
2024-09-11;1.08;yes
2024-09-12;0.28;no
2024-09-13;0.79;no
2024-09-14;0.98;yes
2024-09-15;0.31;yes
2024-09-16;0.73;yes
2024-09-17;0.2;yes
2024-09-18;0.27;yes
2024-09-19;0.88;no
2024-09-20;0.88;yes
2024-09-21;0.45;yes
2024-09-22;0.01;no
2024-09-23;0.7;yes
2024-09-24;0.7;no
2024-09-25;0.02;yes
2024-09-26;0.85;yes
2024-09-27;0.77;yes
2024-09-28;0.56;no
2024-09-29;1.17;yes
2024-09-30;0.17;yes
2024-10-01;-0.62;yes
2024-10-02;0.06;yes
2024-10-03;0.79;no
2024-10-04;0.8;no
2024-10-05;0.43;no
2024-10-06;0.48;no
2024-10-07;0.84;yes
2024-10-08;0.19;no
2024-10-09;0.02;no
2024-10-10;0.09;yes
2024-10-11;0.09;no
2024-10-12;0.13;yes
2024-10-13;0.68;yes
2024-10-14;0.92;no
2024-10-15;-0.72;yes
2024-10-16;0.68;no
2024-10-17;-1.8;yes
2024-10-18;0.25;yes
2024-10-19;0.63;no
2024-10-20;0.88;yes
2024-10-21;0.34;yes
2024-10-22;0.96;no
2024-10-23;0.63;yes
2024-10-24;0.5;no
2024-10-25;0.46;yes
2024-10-26;1.46;yes
2024-10-27;0.69;yes
2024-10-28;0.46;yes
2024-10-29;0.34;no
2024-10-30;0.26;yes
2024-10-31;0.54;no
2024-11-01;0.57;no
2024-11-02;0.36;yes
2024-11-03;0.04;no
2024-11-04;-0.46;yes
2024-11-05;0.68;yes
2024-11-06;0.78;no
2024-11-07;0.44;no
2024-11-08;0.05;no
2024-11-09;0.01;yes
2024-11-10;0.72;no
2024-11-11;0.77;no
2024-11-12;0.13;no
2024-11-13;0.65;no
2024-11-14;-0.38;yes
2024-11-15;0.33;no
2024-11-16;0.74;no
2024-11-17;0.98;yes
2024-11-18;0.63;yes
2024-11-19;-0.32;yes
2024-11-20;0.03;no
2024-11-21;-1.0;yes
2024-11-22;0.7;yes
2024-11-23;0.93;no
2024-11-24;0.62;no
2024-11-25;0.27;yes
2024-11-26;0.14;no
2024-11-27;0.38;yes
2024-11-28;0.23;no
2024-11-29;0.31;yes
2024-11-30;0.88;yes
2024-12-01;0.08;yes
2024-12-02;0.94;no
2024-12-03;0.18;no
2024-12-04;0.39;yes
2024-12-05;0.62;no
2024-12-06;0.93;no
2024-12-07;0.71;yes
2024-12-08;0.2;yes
2024-12-09;0.23;no
2024-12-10;0.64;no
2024-12-11;0.64;no
2024-12-12;0.35;no
2024-12-13;0.13;yes
2024-12-14;0.07;no
2024-12-15;0.85;yes
2024-12-16;0.61;yes
2024-12-17;0.83;no
2024-12-18;0.09;no
2024-12-19;-1.7;yes
2024-12-20;0.19;no
2024-12-21;0.55;yes
2024-12-22;0.5;no
2024-12-23;0.33;no
2024-12-24;0.45;no
2024-12-25;0.04;no
2024-12-26;-0.15;yes
2024-12-27;0.78;no
2024-12-28;0.18;no
2024-12-29;0.38;no
2024-12-30;0.0;no
2024-12-31;0.25;no
2025-01-01;0.38;no
2025-01-02;0.84;no
2025-01-03;0.52;no
2025-01-04;0.16;no
2025-01-05;0.34;yes
2025-01-06;0.19;no
2025-01-07;0.08;no
2025-01-08;0.37;yes
2025-01-09;0.0;no
2025-01-10;0.92;no
2025-01-11;0.8;no
2025-01-12;0.97;no
2025-01-13;0.69;yes
2025-01-14;0.32;no
2025-01-15;0.86;no
2025-01-16;0.89;no
2025-01-17;1.12;yes
2025-01-18;0.27;no
2025-01-19;0.5;yes
2025-01-20;0.24;yes
2025-01-21;0.9;no
2025-01-22;0.43;no
2025-01-23;0.52;no
2025-01-24;-0.49;yes
2025-01-25;0.16;yes
2025-01-26;0.04;yes
2025-01-27;0.43;yes
2025-01-28;0.24;no
2025-01-29;0.3;no
2025-01-30;0.25;yes
2025-01-31;0.74;yes
2025-02-01;0.3;no
2025-02-02;-0.34;yes
2025-02-03;0.72;no
2025-02-04;0.34;no
2025-02-05;0.22;yes
2025-02-06;0.86;no
2025-02-07;0.05;no
2025-02-08;0.67;no
2025-02-09;0.52;yes
2025-02-10;0.65;yes
2025-02-11;0.5;yes
2025-02-12;0.35;yes
2025-02-13;0.25;yes
2025-02-14;0.6;yes
2025-02-15;0.96;no
2025-02-16;0.35;no
2025-02-17;-0.92;yes
2025-02-18;0.85;yes
2025-02-19;0.43;no
2025-02-20;0.34;yes
2025-02-21;0.25;no
2025-02-22;0.83;yes
2025-02-23;0.13;yes
2025-02-24;-1.81;yes
2025-02-25;0.54;yes
2025-02-26;0.22;no
2025-02-27;0.81;yes
2025-02-28;0.82;yes
2025-03-01;0.89;no
2025-03-02;0.2;yes
2025-03-03;0.06;no
2025-03-04;0.19;yes
2025-03-05;0.64;no
2025-03-06;0.17;yes
2025-03-07;0.11;yes
2025-03-08;0.02;no
2025-03-09;0.02;yes
2025-03-10;0.55;yes
2025-03-11;0.56;no
2025-03-12;0.76;no
2025-03-13;0.29;no
2025-03-14;0.99;no
2025-03-15;-1.59;yes
2025-03-16;0.94;yes
2025-03-17;1.51;yes
2025-03-18;0.59;no
2025-03-19;0.25;no
2025-03-20;0.34;no
2025-03-21;0.27;yes
2025-03-22;0.48;yes
2025-03-23;1.0;yes
2025-03-24;0.82;yes
2025-03-25;0.42;no
2025-03-26;0.84;no
2025-03-27;0.5;no
2025-03-28;0.15;yes
2025-03-29;0.13;yes
2025-03-30;0.42;no
2025-03-31;0.41;no
2025-04-01;0.04;yes
2025-04-02;0.99;yes
2025-04-03;0.02;no
2025-04-04;0.84;yes
2025-04-05;0.88;yes
2025-04-06;0.4;yes
2025-04-07;0.32;yes
2025-04-08;0.4;yes
2025-04-09;0.29;yes
2025-04-10;0.14;no
2025-04-11;0.04;yes
2025-04-12;-0.68;yes
2025-04-13;0.04;yes
2025-04-14;0.01;no
2025-04-15;0.64;yes
2025-04-16;0.29;yes
2025-04-17;0.75;yes
2025-04-18;0.2;yes
2025-04-19;0.05;yes
2025-04-20;0.14;no
2025-04-21;0.02;yes
2025-04-22;0.6;yes
2025-04-23;0.54;no
2025-04-24;0.1;yes
2025-04-25;-0.07;yes
2025-04-26;0.75;yes
2025-04-27;-1.35;yes
2025-04-28;0.23;yes
2025-04-29;0.24;yes
2025-04-30;0.93;no
2025-05-01;0.35;yes
2025-05-02;0.14;yes
2025-05-03;0.4;yes
2025-05-04;0.26;no
2025-05-05;0.18;yes
2025-05-06;0.77;yes
2025-05-07;0.32;yes
2025-05-08;-0.32;yes
2025-05-09;-0.37;yes
2025-05-10;0.27;no
2025-05-11;0.64;no
2025-05-12;0.11;yes
2025-05-13;0.7;no
2025-05-14;0.3;no
2025-05-15;0.76;yes
2025-05-16;0.75;yes
2025-05-17;0.16;no
2025-05-18;0.62;yes
2025-05-19;0.36;no
2025-05-20;0.92;no
2025-05-21;-0.39;yes
2025-05-22;0.15;no
2025-05-23;0.63;no
2025-05-24;0.03;yes
2025-05-25;0.88;yes
2025-05-26;0.99;no
2025-05-27;0.11;yes
2025-05-28;0.82;no
2025-05-29;1.62;yes
2025-05-30;0.2;no
2025-05-31;0.41;yes
2025-06-01;0.69;no
2025-06-02;0.82;yes
2025-06-03;0.03;yes
2025-06-04;0.01;no
2025-06-05;0.34;yes
2025-06-06;0.37;no
2025-06-07;0.46;yes
2025-06-08;0.57;yes
2025-06-09;0.31;yes
2025-06-10;0.79;yes
2025-06-11;0.32;no
2025-06-12;0.04;no
2025-06-13;0.45;yes
2025-06-14;0.34;yes
2025-06-15;0.6;no
2025-06-16;0.14;yes
2025-06-17;0.58;no
2025-06-18;0.09;yes
2025-06-19;0.57;no
2025-06-20;0.94;no
2025-06-21;0.46;yes
2025-06-22;0.82;no
2025-06-23;0.99;no
2025-06-24;0.01;no
2025-06-25;0.71;yes
2025-06-26;0.05;no
2025-06-27;0.95;no
2025-06-28;0.77;yes
2025-06-29;0.64;no
2025-06-30;0.33;no
2025-07-01;0.18;no
2025-07-02;-0.52;yes
2025-07-03;0.74;yes
2025-07-04;0.54;yes
2025-07-05;0.0;yes
2025-07-06;0.58;yes
2025-07-07;0.39;no
2025-07-08;0.39;no
2025-07-09;0.02;no
2025-07-10;0.66;no
2025-07-11;0.99;yes
2025-07-12;0.93;no
2025-07-13;0.79;yes
2025-07-14;0.23;no
2025-07-15;-0.2;yes
2025-07-16;0.99;no
2025-07-17;0.76;yes
2025-07-18;0.84;no
2025-07-19;0.03;no
2025-07-20;0.57;no
2025-07-21;0.09;no
2025-07-22;0.11;yes
2025-07-23;0.17;yes
2025-07-24;0.31;yes
2025-07-25;0.0;yes
2025-07-26;0.79;yes
2025-07-27;0.53;no
2025-07-28;0.83;no
2025-07-29;0.63;no
2025-07-30;0.42;no
2025-07-31;0.84;yes
2025-08-01;0.09;yes
2025-08-02;-0.62;yes
2025-08-03;0.63;no
2025-08-04;0.85;no
2025-08-05;0.88;yes
2025-08-06;0.43;no
2025-08-07;0.96;no
2025-08-08;0.07;yes
2025-08-09;0.39;yes
2025-08-10;0.66;yes
2025-08-11;0.72;no
2025-08-12;0.41;yes
2025-08-13;0.68;no
2025-08-14;0.9;no
2025-08-15;0.98;no
2025-08-16;0.2;yes
2025-08-17;0.39;no
2025-08-18;0.1;yes
2025-08-19;-1.3;yes
2025-08-20;0.17;yes
2025-08-21;0.13;no
2025-08-22;0.46;yes
2025-08-23;0.54;no
2025-08-24;0.45;yes
2025-08-25;0.22;no
2025-08-26;0.85;yes
2025-08-27;0.49;no
2025-08-28;0.96;no
2025-08-29;0.14;yes
2025-08-30;0.3;no
2025-08-31;0.79;no
2025-09-01;0.34;yes
2025-09-02;0.61;yes
2025-09-03;0.36;no
2025-09-04;-0.22;yes
2025-09-05;0.78;no
2025-09-06;0.79;yes
2025-09-07;0.12;yes
2025-09-08;0.53;yes
2025-09-09;0.85;no
2025-09-10;0.74;no
2025-09-11;0.39;no
2025-09-12;0.9;no
2025-09-13;0.87;yes
2025-09-14;0.37;yes
2025-09-15;0.91;no
2025-09-16;0.54;no
2025-09-17;0.37;yes
2025-09-18;0.77;yes
2025-09-19;0.77;yes
2025-09-20;0.98;no
2025-09-21;0.96;no
2025-09-22;0.45;yes
2025-09-23;0.98;no
2025-09-24;0.44;no
2025-09-25;0.35;no
2025-09-26;0.82;no
